datapath:/Users/vilkomira21/My Drive/ALBD/data/config/SS-M.csv
asIs:0.116
div:0.922
rows:864
xcols:17
ycols:3
exploit, 8:0.0
explore, 8:0.0
Random, 8:0.0
b2, 8:0.0
EI_Linear, 8:0.08
expoit2, 8:0.0
UCB_GPM, 8:0.45
uncertainty_score, 8:0.0
margin_sampling, 8:0.0
simple_ucb, 8:0.0
balanced_ratio, 8:0.0
PI_linear, 8:0.0
harmonic_mean, 8:0.0
exp_margin, 8:0.0
ALBD, 8:0.01
exploit, 26:0.03
explore, 26:0.03
Random, 26:0.03
b2, 26:0.03
EI_Linear, 26:0.42
expoit2, 26:0.03
UCB_GPM, 26:2.46
uncertainty_score, 26:0.03
margin_sampling, 26:0.03
simple_ucb, 26:0.03
balanced_ratio, 26:0.03
PI_linear, 26:0.03
harmonic_mean, 26:0.03
exp_margin, 26:0.03
ALBD, 26:0.08
exploit, 44:0.05
explore, 44:0.05
Random, 44:0.05
b2, 44:0.05
EI_Linear, 44:0.77
expoit2, 44:0.05
UCB_GPM, 44:5.16
uncertainty_score, 44:0.05
margin_sampling, 44:0.05
simple_ucb, 44:0.06
balanced_ratio, 44:0.05
PI_linear, 44:0.05
harmonic_mean, 44:0.05
exp_margin, 44:0.05
ALBD, 44:0.14
#
0,               exploit, 26,  0.00,  0.00, *--                 |                   ,  0.00,  0.00,  0.00,  0.00,  0.10
0,               explore, 26,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,               exploit, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,               explore, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,               UCB_GPM, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,       margin_sampling, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,            exp_margin, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,               UCB_GPM, 26,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
0,            exp_margin, 26,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
0,                    b2, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,                  ALBD, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,       margin_sampling, 26,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
0,            simple_ucb, 44,  0.00,  0.01, *---                |                   ,  0.00,  0.00,  0.00,  0.02,  0.10
0,             PI_linear, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
0,             EI_Linear, 44,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
0,             PI_linear, 26,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
0,                  ALBD, 26,  0.00,  0.00, *--                 |                   ,  0.00,  0.00,  0.00,  0.01,  0.10
0,     uncertainty_score, 44,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.02
0,         harmonic_mean, 44,  0.01,  0.00, *--                 |                   ,  0.00,  0.00,  0.01,  0.01,  0.10
0,                Random, 26,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
